Bezeichner	Straße	PLZ	Ort	Voraussichtliche Inbetriebnahme
Elbschule Glückstadt	Königsbergerstraße 6	25348	Glückstadt	23.04.2019
Grundschule Göhl	Edisonstr. 5	23758	Göhl	2021 Q1
Grundschule Oldenburg-Land	Bankendorfer Weg 10	23758	Gremersdorf	Potenziell Glasfaser möglich - Glasfaserausbau durch regionalen Partner in Planung
Gorch-Fock-Schule	Habertwedt 6	24376	Grödersby	Termin noch offen
Grundschule Grömitz	Christian-Westphal-Straße	23743	Grömitz	2020 Q1
Gemeinschaftsschule Grömitz	Gildestraße 12	23743	Grömitz	2020 Q1
Grundschule Grönwohld	Bahnhofstraße 3	22956	Grönwohld	2021 Q1
Waldschule Groß Grönau	Tannenredder 2	23627	Groß Grönau	2020 Q2
Grundschule Groß Kummerfeld	Schulstraße 2	24626	Groß Kummerfeld	2020 Q3
Grundschule Groß Vollstedt	Am Sportplatz 3	24802	Groß Vollstedt	2020 Q3
Schule am See	Dorfstraße 48	24361	Groß Wittensee	17.05.2018
Grundschule Großenaspe	Heidmühler Weg 14	24623	Großenaspe	2020 Q3
Grundschule Großenbrode	Am Süderfeld 2	23775	Großenbrode	Derzeit keine wirtschaftliche Realisierung möglich
Grundschule Großenwiehe	Hauptstraße 23 a	24969	Großenwiehe	2020 Q2
Emil-von-Behring-Gymnasium	Sieker Landstraße 203	22927	Großhansdorf	27.08.2019
Friedrich-Junge-Schule	Sieker Landstraße 203	22927	Großhansdorf	27.08.2019
Grundschule Schmalenbeck	Sieker Landstraße 203 b	22927	Großhansdorf	27.08.2019
Grundschule Wöhrendamm	Wöhrendamm 59	22927	Großhansdorf	10.07.2019
Schule im Grünen	Zur Schule 3	24991	Großsolt	24.07.2018
Grundschule Grube	Wenddorf 17	23749	Grube	Potenziell Glasfaser möglich - Glasfaserausbau durch regionalen Partner in Planung
Grund- und Gemeinschaftsschule Hallig Hooge	Schulwarft	25859	Hallig Hooge	2021 Q1
Eugen-Träger-Schule	Kirchwarf 1	25863	Hallig Langeneß	in Planung
Wolfgang-Borchert-Gymnasium	Bickbargen 111	25469	Halstenbek	21.11.2019
Grundschule Bickbargen	Bickbargen 115	25469	Halstenbek	03.09.2019
Grund- und Gemeinschaftsschule an der Bek	Hartkirchener Chaussee 8	25469	Halstenbek	01.04.2019
Grundschule Hamberge	Schulstraße 10	23619	Hamberge	Derzeit keine wirtschaftliche Realisierung möglich
Grundschule Hamdorf	Dorfstraße 8	24805	Hamdorf	2020 Q2
Siegfried-Lenz-Schule 	Alter Kirchenweg 38	24983	Handewitt	23.10.2017
Siegfried-Lenz-Schule 	Jarplunder Weg 14	24976	Handewitt	2020 Q2
Siegfried-Lenz-Schule 	Schulstraße 16	24983	Handewitt	13.12.2017
Theodor-Storm-Dörfergemeinschaftsschule	Hafenstraße 20	25557	Hanerau-Hademarschen	2020 Q2
Berufsbildungszentrum am Nord-Ostsee-Kanal	Mannhardtstraße 3	25557	Hanerau-Hademarschen	2020 Q2
Zentralschule Harrislee	Alt Frösleer Weg 39	24955	Harrislee	13.12.2017
Grundschule Hartenholm	Moorweg 1	24628	Hartenholm	2020 Q3
Grundschule Haseldorfer Marsch	Kamperrege 1	25489	Haseldorf	2020 Q4
Grundschule Haselund	Schulstr. 28	25855	Haselund	2020 Q3
Peter-Lunding-Schule 	Schulstraße 21	25474	Hasloh	14.02.2019
Grundschule Kieholm	Raiffeisenstraße 14	24376	Hasselberg	Termin noch offen
Jens-Iwersen-Schule	Nordseestraße	25856	Hattstedt	2022 Q4
St.-Georg-Schule	Bürgermeister-Vehrs-Straße 13 - 15	25746	Heide	28.11.2018
Gymnasium Heide-Ost	Friedrich-Elvers-Straße	25746	Heide	07.06.2019
Friedrich-Elvers-Schule	Friedrich-Elvers-Straße 14	25746	Heide	11.07.2019
Gemeinschaftsschule Heide-Ost	Friedrich-Elvers-Straße 7	25746	Heide	07.06.2019
Klaus-Groth-Schule	Klaus-Groth-Straße 18 - 20	25746	Heide	12.06.2019
Klaus-Groth-Schule	Loher Weg	25746	Heide	12.02.2019
Grundschule Lüttenheid	Lüttenheid 32	25746	Heide	12.02.2019
Werner-Heisenberg-Gymnasium	Rosenstraße 41	25746	Heide	15.01.2019
Schulamt Kreis Dithmarschen	Stettiner Str. 30	25746	Heide	25.09.2019
Schulen am Moor	Süderholmer Straße 65	25746	Heide	2023 Q4
Regionales BerufsBildungsZentrum Dithmarschen	Waldschlößchenstraße 48 - 52	25746	Heide	12.06.2019
Grundschule Heidgraben	Schulstraße	25436	Heidgraben	28.10.2019
Grund-und Gemeinschaftsschule Heikendorf	Neuheikendorfer Weg 12	24226	Heikendorf	10.09.2019
Heinrich-Heine-Schule	Schulredder 7 - 9	24226	Heikendorf	10.09.2019
Theodor-Storm-Schule	Friedrich-Ebert-Straße 37	23774	Heiligenhafen	06.07.2018
Warderschule	Sundweg 100	23774	Heiligenhafen	Derzeit keine wirtschaftliche Realisierung möglich
Julianka-Schule	Julianka 14	25524	Heiligenstedten	2020 Q1
Grundschule Heist	Hauptstraße 53	25492	Heist	2020 Q1
James-Krüss-Schule	Schulstraße 649	27498	Helgoland	2020 Q4
Grundschule Hemdingen	Steindamm 2	25485	Hemdingen	23.07.2019
